"plant_id","gsw"
"F1A_10_2",0.437513
"F1A_10_2",0.39041
"F1A_10_2",0.400094
"F1A_10_3",0.861979
"F1A_10_3",0.723697
"F1A_10_3",0.69777
"F1A_10_5",0.699779
"F1A_10_5",0.776059
"F1A_10_5",0.764491
"F1A_10_10",0.843442
"F1A_10_10",0.778035
"F1A_10_10",0.792112
"F1A_10_11",0.387648
"F1A_10_11",0.387538
"F1A_10_11",0.230835
"F1A_10_1",0.451133
"F1A_10_1",0.381267
"F1A_10_1",0.502555
"F1A_10_2",0.397399
"F1A_10_2",0.423555
"F1A_10_2",0.521551
"F1A_10_3",0.768213
"F1A_10_3",0.843274
"F1A_10_3",0.839869
"F1A_10_4",0.468008
"F1A_10_4",0.446775
"F1A_10_4",0.663465
"F1A_10_6",0.344295
"F1A_10_6",0.348074
"F1A_10_6",0.352695
"F1A_10_7",0.430089
"F1A_10_7",0.560184
"F1A_10_7",0.439162
"F1A_10_9",0.739568
"F1A_10_9",0.663599
"F1A_10_9",0.65054
"F1A_10_10",0.36823
"F1A_10_10",0.415759
"F1A_10_10",0.451447
"F1A_10_11",0.358572
"F1A_10_11",0.36462
"F1A_10_11",0.429722
"F1A_10_12",0.583356
"F1A_10_12",0.622172
"F1A_10_12",0.684914
"F1A_3_12",0.921273
"F1A_3_12",0.846893
"F1A_3_12",0.786289
"F1A_3_11",0.427523
"F1A_3_11",0.49005
"F1A_3_11",0.620648
"F1A_3_10",0.557779
"F1A_3_10",0.498515
"F1A_3_10",0.538992
"F1A_3_9",0.722446
"F1A_3_9",0.774405
"F1A_3_9",0.90789
"F1A_3_8",0.681966
"F1A_3_8",0.637174
"F1A_3_8",0.995715
"F1A_3_7",0.691581
"F1A_3_7",0.645373
"F1A_3_7",0.69246
"F1A_3_6",0.299756
"F1A_3_6",0.424842
"F1A_3_6",0.28608
"F1A_103_106",-0.000619
"F1A_3_5",0.488731
"F1A_3_5",0.592556
"F1A_3_5",0.681952
"F1A_3_4",0.135695
"F1A_3_4",0.122316
"F1A_3_4",0.114712
"F1A_3_3",0.853386
"F1A_3_3",1.003824
"F1A_3_3",0.91956
"F1A_3_2",0.758662
"F1A_3_2",0.696295
"F1A_3_2",0.885207
"F1A_3_1",0.781218
"F1A_3_1",0.659597
"F1A_3_1",0.815834
"F1A_2_1",0.852231
"F1A_2_1",0.737212
"F1A_2_1",1.047897
"F1A_2_2",0.035387
"F1A_2_2",0.033721
"F1A_2_2",0.124735
"F1A_2_2",0.051498
"F1A_2_2",0.119534
"F1A_2_2",0.24066
"F1A_2_2",0.285644
"F1A_2_3",0.574828
"F1A_2_3",0.56369
"F1A_2_3",0.625298
"F1A_2_4",0.549998
"F1A_2_4",0.344359
"F1A_2_4",0.422941
