"plant_id","disease_score","gsw"
"F1A_0_1",4,0.404193
"F1A_0_2",4,0.451526333333333
"F1A_0_3",4,0.119659666666667
"F1A_0_4",4,0.581605
"F1A_0_5",4,0.619027
"F1A_0_6",4,0.377968
"F1A_0_7",4,0.711713666666667
"F1A_0_8",4,0.253196333333333
"F1A_0_9",4,0.839961333333333
"F1A_1_10",4,0.826672666666667
"F1A_1_11",4,0.213062666666667
"F1A_1_12",4,0.695124666666667
"F1A_1_3",4,0.696922
"F1A_1_4",4,0.316536666666667
"F1A_1_5",4,0.366853333333333
"F1A_1_7",4,1.01585333333333
"F1A_1_8",4,0.367515
"F1A_10_10",4,0.608170833333333
"F1A_10_11",4,0.3598225
"F1A_10_12",4,0.630147333333333
"F1A_10_2",4,0.428420333333333
"F1A_10_3",4,0.789133666666667
"F1A_10_6",3,0.348354666666667
"F1A_10_9",4,0.684569
"F1A_11_10",4,0.637745
"F1A_11_11",4,0.198487333333333
"F1A_11_2",4,0.569603333333333
"F1A_11_3",4,0.391468
"F1A_12_1",4,0.1099886
"F1A_12_10",4,0.490961666666667
"F1A_12_11",4,0.437533666666667
"F1A_12_12",4,0.155750666666667
"F1A_12_3",4,0.307384666666667
"F1A_12_6",4,0.370210333333333
"F1A_12_7",4,0.333003666666667
"F1A_12_8",4,0.211082
"F1A_12_9",4,0.499236333333333
"F1A_13_10",4,0.304558333333333
"F1A_13_11",4,0.319972666666667
"F1A_13_12",4,0.732806333333333
"F1A_13_2",4,0.796187
"F1A_13_3",4,0.274571666666667
"F1A_13_4",2,0.691085666666667
"F1A_13_5",4,0.453367333333333
"F1A_13_6",4,0.79152
"F1A_13_7",4,0.523506
"F1A_13_8",4,0.678619333333333
"F1A_13_9",4,0.333737
"F1A_2_1",4,0.879113333333333
"F1A_2_10",4,0.347056333333333
"F1A_2_11",4,0.755435666666667
"F1A_2_12",4,0.621155333333333
"F1A_2_2",4,0.127311285714286
"F1A_2_4",4,0.439099333333333
"F1A_2_5",4,0.959518666666667
"F1A_2_7",4,0.284451
"F1A_2_9",4,0.682902333333333
"F1A_3_1",4,0.752216333333333
"F1A_3_10",4,0.531762
"F1A_3_11",3,0.512740333333333
"F1A_3_12",4,0.851485
"F1A_3_2",4,0.780054666666667
"F1A_3_3",4,0.92559
"F1A_3_4",4,0.124241
"F1A_3_5",4,0.587746333333333
"F1A_3_6",4,0.336892666666667
"F1A_3_7",4,0.676471333333333
"F1A_3_8",4,0.771618333333333
"F1A_3_9",4,0.801580333333333
"F1A_4_1",4,1.146358
"F1A_4_12",4,0.870071
"F1A_4_2",4,0.38838
"F1A_4_3",4,0.786085666666667
"F1A_4_4",4,0.608812
"F1A_4_5",4,0.211078666666667
"F1A_4_7",4,0.76739
"F1A_4_8",4,0.77639
"F1A_4_9",4,0.586126333333333
"F1A_5_1",4,0.572379
"F1A_5_10",4,0.389915666666667
"F1A_5_12",4,0.268667
"F1A_5_2",4,0.363914
"F1A_5_4",4,0.709095333333333
"F1A_5_5",4,0.356107
"F1A_5_6",3,0.149951666666667
"F1A_5_7",4,0.55347125
"F1A_5_8",4,1.036138
"F1A_6_1",4,0.884886
"F1A_6_11",4,0.512825666666667
"F1A_6_12",4,0.614910666666667
"F1A_6_2",4,0.498954333333333
"F1A_6_5",4,0.66051225
