SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,GPS,GPS,GPS,GPS,GPS,GPS,GPS,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Block,Row_Num,Plant_Num,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,degrees,degrees,degrees,degrees,%,degrees,degrees,degrees,degrees,degrees,HHMMSS,YYYYMMDD,degrees,degrees,m,,,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,10:40:11,7/18/24,Autogsw_F1s,KellerLab,,F1B,10,12,0.5216,2.918111,0.442505,4.636586,1.614135,1.48493,2.641489,1.027354,14.823214,16.112991,26.368481,0.441786,PSF-00474_20240718104011,0,0,0,97.163559,397.105347,0.75532,0.5,0.8,49.930492,52.54,48.33,24.43,21.93,100.18,156.3,155.2,0.6,165,3.97,-31,-4,51,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,10:39:22,7/18/24,-0.1,0.004,0.005,0.018,-3.982,-2.995,-3.062,1,150,0.005,2,0,rectangular,7000,10,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.481483,2.450665,1.662753,0.836119,0.279056,-0.027414,0.171092,0.247986,97.163559,0.000213,2.402632,-0.000055,1,2.369919,-0.000062,1,0.601405,0.600292,0.107003,0,PSF-00474_20240718104011,PFA-00562,PSA-00547,PSF-00474,RHS-0663,2.0.0,2024-07-11T20:02:46.325Z
2,10:40:51,7/18/24,Autogsw_F1s,KellerLab,,F1B,10,12,0.438836,2.91588,0.381431,3.756813,1.605002,1.500131,2.570987,0.965985,14.976603,16.023582,25.667521,0.441786,PSF-00474_20240718104051,0,0,0,98.266838,389.924896,0.747985,0.5,0.8,6.299062,52.33,48.91,24.4,21.48,100.17,156,155.1,0.6,21,3.97,-23,9,53,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,10:39:22,7/18/24,-0.1,-0.001,0,0.019,0.004,0.018,0.201,1,150,0.005,2,0,rectangular,7000,10,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.482305,2.450404,1.660449,0.835816,0.279389,-0.032048,0.177207,0.124963,98.266838,0.000216,2.402632,-0.000055,1,2.369919,-0.000062,1,0.601405,0.600292,0.107003,0,PSF-00474_20240718104051,PFA-00562,PSA-00547,PSF-00474,RHS-0663,2.0.0,2024-07-11T20:02:46.325Z
3,10:41:11,7/18/24,Autogsw_F1s,KellerLab,,F1B,10,12,0.588589,2.919097,0.489824,4.500424,1.65081,1.525554,2.551834,0.901024,15.229914,16.480373,25.475475,0.441786,PSF-00474_20240718104111,0,0,0,91.963646,385.773895,0.761613,0.5,0.8,28.224255,53.89,49.8,24.38,21.36,100.17,156.4,155.6,0.5,93,3.968,-24,5,295,,,,,,,,0:00:00,0000-00-00,44.433231,-73.195389,74.099998,5,1.81,10:39:22,7/18/24,-0.1,0,0.003,0.021,-0.119,-0.333,0.219,1,150,0.005,2,0,rectangular,7000,10,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.483545,2.452464,1.663777,0.836763,0.279602,-0.033195,0.179923,0.186038,91.963646,0.000224,2.402632,-0.000055,1,2.369919,-0.000062,1,0.601405,0.600292,0.107003,0,PSF-00474_20240718104111,PFA-00562,PSA-00547,PSF-00474,RHS-0663,2.0.0,2024-07-11T20:02:46.325Z
4,10:42:02,7/18/24,Autogsw_F1s,KellerLab,,F1B,10,11,0.371534,2.917665,0.329567,3.13348,1.686849,1.599576,2.618719,0.931869,15.969729,16.841043,26.144569,0.441786,PSF-00474_20240718104202,0,0,0,94.404816,367.447601,0.74308,0.5,0.8,45.228416,55.11,52.26,24.36,21.78,100.16,156.2,156,0.1,152,3.966,-10,-23,356,68.65,36.4,24.97,108.25,20.85,107.72,43.68,14:00:03,7/18/24,44.433273,-73.195465,75.800003,5,1.82,10:39:22,7/18/24,-0.1,0.001,0,0.013,-0.089,0.308,-0.111,1,150,0.005,2,0,rectangular,7000,10,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.486967,2.454081,1.662292,0.83751,0.279764,-0.028278,0.18678,0.236813,94.404816,0.000212,2.402632,-0.000055,1,2.369919,-0.000062,1,0.601405,0.600292,0.107003,0,PSF-00474_20240718104202,PFA-00562,PSA-00547,PSF-00474,RHS-0663,2.0.0,2024-07-11T20:02:46.325Z
5,10:42:29,7/18/24,Autogsw_F1s,KellerLab,,F1B,10,11,0.358143,2.918237,0.318994,3.15719,1.702383,1.614498,2.672131,0.969748,16.117903,16.995275,26.676497,0.441786,PSF-00474_20240718104229,0,0,0,92.211487,365.909088,0.747993,0.5,0.8,41.563721,55.62,52.75,24.36,22.11,100.17,156.3,156.1,0.1,139,3.965,-42,-13,348,80.47,16.55,43.61,148.96,20.85,107.72,43.68,14:00:31,7/18/24,44.433231,-73.19545,81.300003,5,1.82,10:39:22,7/18/24,-0.1,-0.002,-0.004,0.006,0.153,-0.035,-0.093,1,150,0.005,2,0,rectangular,7000,10,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.487642,2.454749,1.662884,0.837611,0.279765,-0.024543,0.190305,0.225512,92.211487,0.000217,2.402632,-0.000055,1,2.369919,-0.000062,1,0.601405,0.600292,0.107003,0,PSF-00474_20240718104229,PFA-00562,PSA-00547,PSF-00474,RHS-0663,2.0.0,2024-07-11T20:02:46.325Z
6,10:42:48,7/18/24,Autogsw_F1s,KellerLab,,F1B,10,11,0.342943,2.919224,0.306891,3.571079,1.655596,1.556227,2.795207,1.139611,15.537258,16.529348,27.907137,0.441786,PSF-00474_20240718104248,0,0,0,97.132088,373.473297,0.739922,0.5,0.8,39.457832,54.08,50.83,24.37,22.86,100.16,156.4,156.2,0.1,133,3.961,1,-17,0,59.83,50.26,17.03,86.73,20.85,107.72,43.68,14:00:49,7/18/24,44.43322,-73.195419,92.800003,7,1.25,10:39:22,7/18/24,-0.1,0,0.002,0.024,0.048,0.022,0.927,1,150,0.005,2,0,rectangular,7000,10,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.484987,2.45272,1.663908,0.837902,0.279724,-0.016178,0.192576,0.220734,97.132088,0.000217,2.402632,-0.000055,1,2.369919,-0.000062,1,0.601405,0.600292,0.107003,0,PSF-00474_20240718104248,PFA-00562,PSA-00547,PSF-00474,RHS-0663,2.0.0,2024-07-11T20:02:46.325Z
7,10:44:13,7/18/24,Autogsw_F1s,KellerLab,,F1B,10,10,0.692408,2.919472,0.559672,6.218351,1.698691,1.525747,2.786775,1.088084,15.231005,16.957449,27.819412,0.441786,PSF-00474_20240718104413,0,0,0,130.170471,275.265442,0.527109,0.5,0.8,104.145554,55.24,49.62,24.44,22.81,100.17,156.4,155.5,0.6,494,3.962,-1,0,49,42.84,73.33,1,-131,20.85,108.18,43.34,14:02:14,7/18/24,44.433197,-73.195435,92.699997,7,1.25,10:39:22,7/18/24,-0.1,-0.004,-0.002,0.018,4.292,2.612,-8.44,1,150,0.005,2,0,rectangular,7000,10,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.483272,2.454227,1.664165,0.836493,0.278891,-0.017611,0.203293,0.528382,130.170471,0.000214,2.402632,-0.000055,1,2.369919,-0.000062,1,0.601405,0.600292,0.107003,0,PSF-00474_20240718104413,PFA-00562,PSA-00547,PSF-00474,RHS-0663,2.0.0,2024-07-11T20:02:46.325Z
8,10:44:32,7/18/24,Autogsw_F1s,KellerLab,,F1B,10,10,0.824026,2.917895,0.642563,6.920094,1.707984,1.515288,2.762811,1.054826,15.125502,17.048986,27.57819,0.441786,PSF-00474_20240718104432,0,0,0,96.668961,237.286804,0.592607,0.5,0.8,123.642418,55.39,49.14,24.49,22.66,100.18,156.2,154.9,0.8,522,3.961,-13,21,160,56.13,55.73,24.54,39.63,20.85,108.18,43.34,14:02:33,7/18/24,44.433216,-73.195427,93.300003,9,1.09,10:39:22,7/18/24,-0.1,0.003,-0.002,0.018,-3.391,1.867,-0.352,1,150,0.005,2,0,rectangular,7000,10,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.48259,2.454404,1.66253,0.835565,0.278364,-0.01978,0.205536,0.551976,96.668961,0.000216,2.402632,-0.000055,1,2.369919,-0.000062,1,0.601405,0.600292,0.107003,0,PSF-00474_20240718104432,PFA-00562,PSA-00547,PSF-00474,RHS-0663,2.0.0,2024-07-11T20:02:46.325Z
