cross,block,row,plant_num,disease_score
315xW,F1A,1,1,NA
374xW,F1A,1,2,NA
360x9540,F1A,1,3,4
311x9540,F1A,1,4,4
374xW,F1A,1,5,4
374xW,F1A,1,6,NA
360x9540,F1A,1,7,4
374xW,F1A,1,8,4
374xW,F1A,1,9,NA
360x9540,F1A,1,10,4
374xW,F1A,1,11,4
315xW,F1A,1,12,4
360x9549,F1A,2,1,4
360x9540,F1A,2,2,4
374xW,F1A,2,3,NA
360x9549,F1A,2,4,4
360x9540,F1A,2,5,4
311x9540,F1A,2,6,NA
311xW,F1A,2,7,4
360x9549,F1A,2,8,NA
374xW,F1A,2,9,4
374xW,F1A,2,10,4
360x9540,F1A,2,11,4
311x9540,F1A,2,12,4
360x9549,F1A,3,1,4
374xW,F1A,3,2,4
360x9540,F1A,3,3,4
315xW,F1A,3,4,4
374xW,F1A,3,5,4
360x9540,F1A,3,6,4
311x9540,F1A,3,7,4
374xW,F1A,3,8,4
374xW,F1A,3,9,4
360x9549,F1A,3,10,4
374xW,F1A,3,11,3
315xW,F1A,3,12,4
360x9540,F1A,4,1,4
374xW,F1A,4,2,4
374xW,F1A,4,3,4
360x9540,F1A,4,4,4
360x9549,F1A,4,5,4
374xW,F1A,4,6,NA
360x9540,F1A,4,7,4
311xW,F1A,4,8,4
311xW,F1A,4,9,4
311x9540,F1A,4,10,NA
364xW,F1A,4,11,NA
315xW,F1A,4,12,4
311xW,F1A,5,1,4
374xW,F1A,5,2,4
311x9540,F1A,5,3,NA
364xW,F1A,5,4,4
374xW,F1A,5,5,4
311x9540,F1A,5,6,3
374xW,F1A,5,7,4
374xW,F1A,5,8,4
374xW,F1A,5,9,NA
315xW,F1A,5,10,4
360x9540,F1A,5,11,NA
360x9549,F1A,5,12,4
311x9540,F1A,6,1,4
374xW,F1A,6,2,4
360x9549,F1A,6,3,NA
360x9540,F1A,6,4,NA
374xW,F1A,6,5,4
374xW,F1A,6,6,4
311x9540,F1A,6,7,NA
364xW,F1A,6,8,NA
360x9549,F1A,6,9,4
311x9540,F1A,6,10,NA
374xW,F1A,6,11,4
374xW,F1A,6,12,4
311x9540,F1A,7,1,NA
360x9540,F1A,7,2,3
360x9549,F1A,7,3,NA
360x9549,F1A,7,4,4
360x9549,F1A,7,5,NA
311xW,F1A,7,6,4
364xW,F1A,7,7,4
374xW,F1A,7,8,NA
374xW,F1A,7,9,4
374xW,F1A,7,10,4
311xW,F1A,7,11,4
374xW,F1A,7,12,3
311x9540,F1A,8,1,NA
374xW,F1A,8,2,4
374xW,F1A,8,3,4
374xW,F1A,8,4,4
311x9540,F1A,8,5,4
360x9540,F1A,8,6,4
360x9549,F1A,8,7,4
364xW,F1A,8,8,NA
360x9549,F1A,8,9,NA
374xW,F1A,8,10,NA
374xW,F1A,8,11,4
364xW,F1A,8,12,4
360x9549,F1A,9,1,NA
315xW,F1A,9,2,4
360x9549,F1A,9,3,NA
311xW,F1A,9,4,4
374xW,F1A,9,5,4
360x9540,F1A,9,6,4
374xW,F1A,9,7,NA
